"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R14,R15";"R_0402_1005Metric";2;"R";;;
2;"U2";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
3;"C12,C3,C9,C8,C7,C13,C11,C4";"C_0402_1005Metric";8;"100nF";;;
4;"C1";"C_0402_1005Metric";1;"10uF";;;
5;"R3";"R_0402_1005Metric";1;"5.1K";;;
6;"SW1,SW2";"KEY-SMD_4P-L4.2-W2.8-P1.60-LS4.6";2;"KMR621NGLFS";;;
7;"Q3,Q4";"SOT-23";2;"SS8050";;;
8;"USB1";"MICRO-USB-SMD_105017-0001";1;"105017-0001";;;
9;"R8,R2";"R_0402_1005Metric";2;"1K";;;
10;"C2";"C_0402_1005Metric";1;"22uF";;;
11;"R13,R12,R11,R7,R1";"R_0402_1005Metric";5;"10K";;;
12;"U3";"WIFI-SMD_ESP32-WROOM-32E";1;"ESP32-WROOM-32E(4MB)";;;
13;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
14;"D1,D2,D3";"SOD-523_L1.2-W0.8-LS1.6-BI";3;"LESD5D5.0CT1G";;;
15;"R4";"R_0402_1005Metric";1;"560";;;
16;"R5";"R_0402_1005Metric";1;"22.1K";;;
17;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
18;"D4";"LED_0402_1005Metric";1;"LED1";;;
19;"D5";"LED_0402_1005Metric";1;"LED2";;;
20;"R9,R10";"R_0402_1005Metric";2;"0";;;
21;"C10";"C_0805_2012Metric";1;"22uF";;;
22;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
23;"C6";"C_0402_1005Metric";1;"4.7uF";;;
24;"R6";"R_0402_1005Metric";1;"47.5K";;;
25;"Q2,Q1";"SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR";2;"2N7002T-7-F";;;
26;"J3,J4";"PinHeader_1x17_P2.54mm_Vertical";2;"Conn_01x17_Pin";;;
